# measurement_times,prevalence,cumulative,reproductive_number
5.875249441168034714e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.611268304316832101e+00
9.963292724901156916e+00,5.000000000000000000e+00,8.000000000000000000e+00,1.611268304316832101e+00
1.011683601652079112e+01,4.000000000000000000e+00,8.000000000000000000e+00,1.611268304316832101e+00
1.181098612600625408e+01,3.000000000000000000e+00,1.000000000000000000e+01,1.611268304316832101e+00
1.271076662757101339e+01,3.000000000000000000e+00,1.000000000000000000e+01,1.611268304316832101e+00
1.271572299918597437e+01,3.000000000000000000e+00,1.000000000000000000e+01,1.611268304316832101e+00
1.455404532577431809e+01,5.000000000000000000e+00,1.300000000000000000e+01,1.611268304316832101e+00
2.137020199820721089e+01,8.000000000000000000e+00,2.300000000000000000e+01,1.609893632203216463e+00
2.572096232710384101e+01,5.000000000000000000e+00,2.700000000000000000e+01,1.609893632203216463e+00
2.605529224547888134e+01,6.000000000000000000e+00,2.800000000000000000e+01,1.609893632203216463e+00
